rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/loss,train/std,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/value_loss,eval/mean_ep_length,eval/mean_reward
1.71771614,10.93,1,8,8192,947,,,,,,,,,,,,,
1.71765774,10.93,2,22,16384,734,0.18660888671875,-0.29511943459510803,1.0066626071929932,-28.49885928183794,-0.41012752056121826,-0.004289430070275557,0.014790133,0.0003,10,0.2,0.0035045345066009757,,
1.7145605300000002,10.91,3,35,24576,684,0.26343994140625,-0.33178845047950745,1.009563684463501,-28.552671422064304,0.9858546853065491,-0.009351400459127034,0.02053433,0.0003,20,0.2,0.0014238854084396735,,
1.7208793500000001,10.95,4,49,32768,660,0.33128662109375,-0.1566701978445053,1.0158100128173828,-28.660185933113098,0.9949311017990112,-0.0145011258258819,0.027626742,0.0003,30,0.2,0.0012720812182806184,,
,,,,40000,,0.3257568359375,-0.30664458870887756,1.0217390060424805,-28.778324261307716,0.9955264925956726,-0.011834870370512363,0.027342383,0.0003,40,0.2,0.0010104733413356826,11.0,1.728779
1.7146674,10.91,5,63,40960,646,,,,,,,,,,,,,
1.7194479700000003,10.94,6,77,49152,634,0.3884765625,-0.3202388882637024,1.0308328866958618,-28.93253676742315,0.987122118473053,-0.012818942022568081,0.03536966,0.0003,50,0.2,0.0034310993160431734,,
1.7225846600000003,10.96,7,90,57344,632,0.318798828125,-0.32294508814811707,1.0367839336395264,-29.07480269819498,0.9970942735671997,-0.011920065544836688,0.026951963,0.0003,60,0.2,0.0005615428931321276,,
1.7258371399999999,10.98,8,103,65536,630,0.355712890625,-0.2966514527797699,1.0464856624603271,-29.234807136654855,0.9975847005844116,-0.013539810718248191,0.030185794,0.0003,70,0.2,0.0006546303326501856,,
1.72746414,10.99,9,117,73728,627,0.3705322265625,-0.3223698139190674,1.0555360317230225,-29.40411013662815,0.9978557229042053,-0.013245348434702464,0.031656913,0.0003,80,0.2,0.0006136312939872823,,
,,,,80000,,0.34210205078125,-0.28470420837402344,1.0633928775787354,-29.557205395400523,0.9988020062446594,-0.014622511525158189,0.027984176,0.0003,90,0.2,0.00028425479013094446,11.0,1.72932
1.72597848,10.98,10,130,81920,627,,,,,,,,,,,,,
1.72912362,11.0,11,143,90112,625,0.34129638671875,-0.2912497818470001,1.072650671005249,-29.728844363987445,0.991132915019989,-0.009005092069492094,0.028867103,0.0003,100,0.2,0.002471176826691135,,
1.7292010199999996,11.0,12,156,98304,627,0.30364990234375,-0.3314388394355774,1.0773259401321411,-29.83125918805599,0.9988217353820801,-0.01025998156874266,0.021535365,0.0003,110,0.2,0.00021155706356239533,,
1.72929102,11.0,13,169,106496,626,0.331201171875,-0.2882954776287079,1.0808595418930054,-29.91116661578417,0.9993916749954224,-0.014830657765924116,0.026395094,0.0003,120,0.2,0.0001450153680082167,,
1.7293281799999998,11.0,14,183,114688,625,0.327001953125,-0.33061444759368896,1.0859169960021973,-29.992374441027643,0.9993385672569275,-0.010639916705622454,0.024350574,0.0003,130,0.2,0.00019464230940116067,,
,,,,120000,,0.345263671875,-0.3207513391971588,1.0886683464050293,-30.063186299800872,0.9994736909866333,-0.01405343525475473,0.028027387,0.0003,140,0.2,0.00013458377887332063,11.0,1.729908
1.7294493399999995,11.0,15,194,122880,630,,,,,,,,,,,,,
